Common Name,Right Ascension (HH.MM.SS),Declination (DD.SS)
Marsic,16.08.495418086118,17.03157235775165
Maru,08.06.537573093755,-66.18166929383911
Matar,22.43.14343954,30.131596266658057
Matza,13.24.361310035545,-51.30158501173702
Mazaalai,11.25.598594399287,41.014070785163355
Mebsuta,06.43.550004239702,25.0750990198163
Megrez,12.15.250003892889,57.01570473269961
Meissa,05.36.200007956399,9.56019764033605
Mekbuda,07.05.53084318715,20.34130686527815
Meleph,08.40.180972736518,19.315517882409058
Menkalinan,05.59.309998831747,44.56499809632526
Menkar,03.02.160009398366,4.052295416152131
Menkent,14.06.400008307266,-36.22109507711076
Menkib,03.58.579027447038,35.47276735814414
Merak,11.01.499998995567,56.225603992427374
Merga,14.49.186720187872,46.065838377834034
Meridiana,19.09.283410265517,-37.54160979027562
Merope,03.46.195865792202,23.565405077015054
Mesarthim,01.53.318139292792,19.17378303872196
Miaplacidus,09.13.12003841436,-69.43019781355117
Mimosa,12.47.430013383117,-59.411895092367985
Minchir,08.38.454383793849,3.202918500358481
Minelauva,12.55.350009634309,3.2350049355909776
Mintaka,05.32.9765334,-0.17560244235584088
Mira,02.19.207930850548,-2.583954430496718
Mirach,01.09.430010456464,35.37139502880226
Miram,02.50.410003663389,55.53429532247566
Mirfak,03.24.190002982181,49.513995626604455
Mirzam,06.22.410013366615,-17.572101428570136
Misam,03.09.290004746641,44.51269548044989
Mizar,13.23.550009342954,54.55300498793879
Moldoveanu,16.02.118475690939,28.10104591869135
Montuno,04.25.290182591665,-30.26016467524686
Morava,23.46.3997598583,31.092132902102858
Moriah,20.24.297248167605,16.454380008639
Mothallah,01.53.400009017093,29.34429503903712
Mouhoun,04.50.178628284023,-24.220786566220426
Mpingo,01.57.320409721668,0.45318304870065373
Muliphein,07.03.454943005873,-15.375983553511483
Muphrid,13.54.410010170478,18.235404958559144
Muscida,08.30.149989372291,60.4303013126256
Musica,20.58.259347087096,10.502141196867166
Muspelheim,02.12.314794410449,51.464351469451984
Márohu,23.12.377375262276,-22.40263150889519
Mönch,14.47.327271721755,-0.1653260991460485
Nahn,09.09.215415344416,22.024360110983686
Naledi,05.48.33596485733,-63.59184096189719
Naos,08.03.350019668709,-40.0010992550649
Nashira,21.40.50000677537,-16.394402709997404
Natasha,09.50.24971116524,-49.472492917261896
Nekkar,15.01.560013720059,40.232504586708274
Nembus,01.37.590009219182,48.37389501435055
Nenque,01.04.40151138506,-39.2917633806453
Nervia,06.51.305161737318,40.520391592378935
Nganurganity,07.01.430015937828,-27.56050059765874
Nihal,05.28.140013591069,-20.45320251352582
Nikawiy,15.20.20014647364,41.44011441750866
Noquisi,11.42.110940454097,26.422369534820966
Nosaxa,06.40.172722878273,-48.32310525751684
Nunki,18.55.150003912419,-26.174699262832835
Nusakan,15.27.490013024774,29.062004336214745
Nushagak,02.49.444868454034,71.45115823538067
Nyamien,13.55.427128867746,-32.09345664397173
Násti,08.18.221716985685,61.273860561449695
Ogma,16.30.296202233945,38.20503440854687
Okab,19.05.240012595779,13.514600517976843
Orkaria,17.15.189350432521,4.575009412329866
Paikauhale,16.35.5200050784,-28.125796575572227
Paradys,14.47.509988968,-79.02409530137183
Parumleo,00.15.508087107033,1.120154154344515
Peacock,20.25.379992226693,-56.44050121540232
Petra,20.12.401703305423,-2.0839196398852944
Phact,05.39.380016915485,-34.042702296123274
Phecda,11.53.490003209334,53.41410456306127
Pherkad,15.20.430026462994,71.50020441057404
Phoenicia,20.13.598465626706,-0.5200779682607628
Phyllon Kissinou,12.34.510814374583,22.374537879465464
Piautos,08.20.321367532101,24.01203308747694
Pincoya,18.04.93305716548,-28.33383307005567
