Common Name,Right Ascension (HH.MM.SS),Declination (DD.SS),"Magnitude (V, Visual)",Proper Motion Speed (mas/yr),Proper Motion Angle (DD.SS),Proper Motion RA (mas/yr),Proper Motion DEC (mas/yr),Alternative Names,URL
Ankaa,00.26.17,-42.1821,2.38,425.7,146.8,233.0977,-356.2106,"Ankaa, α-Phe, Alpha Phoenicis, HR 99, HD 2261, HIP 2081, TYC 7527-1031-1",https://in-the-sky.org/data/object.php?id=TYC7527-1031-1
Anser,19.28.423299,24.3953661,4.4,165.3657,229.7417,-126.197,-106.865,"Anser, α Vul, 6 Vulpeculae, BD+24°3759, FK5 1508, HD 183439, HIP 95771, HR 7405, SAO 87261, CCDM J19288+2442A, WDS J19287+2440A",https://en.wikipedia.org/wiki/Alpha_Vulpeculae
Antares,16.29.24,-26.2555,1.07,26.3,207.5,-12.144,-23.3284,"Antares, α-Sco, Alpha Scorpii, 21-Sco, 21 Scorpii, HR 6134, HD 148478, HIP 80763, TYC 6803-2158-1",https://in-the-sky.org/data/object.php?id=TYC6803-2158-1
Antinous,20.11.18,-0.4917,3.25,35.9,82.6,35.601,4.6238,"θ-Aql, Theta Aquilae, 65-Aql, 65 Aquilae, HR 7710, HD 191692, HIP 99473, TYC 5161-2682-1, Gaia EDR3- 4224225924761329792",https://in-the-sky.org/data/object.php?id=TYC5161-2682-1
Arcalís,14.53.23028,18.140747,7.96,55.3167,217.7489,43.739,-33.865,"Arcalís, BD+18°2957, HD 131496, HIP 72845, SAO 101274",https://en.wikipedia.org/wiki/HD_131496
Arcturus,14.15.40,19.1114,0.16,2280.0,208.7,-1094.9096,-1999.8933,"Arcturus, α-Boo, Alpha Bootis, 16-Boo, 16 Bootis, HR 5340, HD 124897, NSV 6603, HIP 69673, TYC 1472-1436-1",https://in-the-sky.org/data/object.php?id=TYC1472-1436-1
Arkab Posterior,19.23.1313745,-44.47592051,4.29,107.9751,210.0628,93.45,-54.09,"Arkab Posterior, β2 Sgr, CD−45°13171, HD 181623, HIP 95294, HR 7343, SAO 229654",https://en.wikipedia.org/wiki/Beta2_Sagittarii
Arkab Prior,19.22.38,-44.2732,3.94,23.4,144.3,13.6549,-19.0028,"Arkab Prior, β¹-Sgr, Beta1 Sagittarii, HR 7337, HD 181454, HIP 95241, TYC 7943-2105-1",https://in-the-sky.org/data/object.php?id=TYC7943-2105-1
Arneb,05.32.43,-17.492,2.59,3.7,66.2,3.3854,1.4931,"Arneb, α-Lep, Alpha Leporis, 11-Lep, 11 Leporis, HR 1865, HD 36673, NSV 2128, HIP 25985, TYC 5920-1685-1, Gaia EDR3- 2971266110612490624",https://in-the-sky.org/data/object.php?id=TYC5920-1685-1
Ascella,19.02.36,-29.5248,2.61,23.7,27.1,10.7964,21.098,"Ascella, ζ-Sgr, Zeta Sagittarii, 38-Sgr, 38 Sagittarii, HR 7194, HD 176687, HIP 93506, TYC 6885-2837-1, Gaia EDR3- 6760703042771435136",https://in-the-sky.org/data/object.php?id=TYC6885-2837-1
Asellus Australis,08.44.41,18.0911,3.93,228.6,184.6,-18.3335,-227.8637,"Asellus Australis, δ-Cnc, Delta Cancri, 47-Cnc, 47 Cancri, HR 3461, HD 74442, HIP 42911, TYC 1396-2758-1, Gaia EDR3- 660136821288588416",https://in-the-sky.org/data/object.php?id=TYC1396-2758-1
Asellus Borealis,08.43.17147,21.28066,4.673,112.7761,249.6832,-105.76,-39.157,"Asellus Borealis, γ Cnc, Gamma Cnc, 43 Cnc, BD+21°1895, FK5 1228, GC 11982, HD 74198, HIP 42806, HR 3449, SAO 80378, CCDM 08433+2128",https://en.wikipedia.org/wiki/Gamma_Cancri
Ashlesha,08.46.46,6.2507,3.42,232.3,259.1,-228.109,-43.9269,"ε-Hya, Epsilon Hydrae, 11-Hya, 11 Hydrae, HR 3482, HD 74874, HIP 43109, TYC 224-1333-1",https://in-the-sky.org/data/object.php?id=TYC224-1333-1
Aspidiske,09.17.05,-59.163,2.25,22.3,302.4,-18.8285,11.9489,"Aspidiske, ι-Car, Iota Carinae, HR 3699, HD 80404, NSV 4444, HIP 45556, TYC 8595-3312-1, Gaia EDR3- 5300300156538723328",https://in-the-sky.org/data/object.php?id=TYC8595-3312-1
Asterope,03.45.5447676,24.33162418,5.76,50.123,246.452,20.025,-45.949,"Asterope, Sterope I, 21 Tau, BD+24°553, GC 4502, HD 23432, HIP 17579, HR 1151, SAO 76159",https://en.wikipedia.org/wiki/21_Tauri
Atakoraka,06.44.2760507,-32.51301793,12.29,19.2948,266.8151,-19.265,-1.072,"Atakoraka, TOI-473, TIC 52640302, WASP-64 B, GSC 07091-01514, 2MASS J06442760-3251302, WISE J064427.58-325130.",https://en.wikipedia.org/wiki/WASP-64
Athebyne,16.23.59,61.3052,2.73,59.4,344.0,-16.3729,57.0989,"η-Dra, Eta Draconis, 14-Dra, 14 Draconis, HR 6132, HD 148387, NSV 7713, HIP 80331, TYC 4190-2568-1, Gaia EDR3- 1625209684868707328",https://in-the-sky.org/data/object.php?id=TYC4190-2568-1
Atik,03.44.19,32.1717,3.91,11.5,148.0,6.0941,-9.7526,"Atik, O-Per, Omicron Persei, 38-Per, 38 Persei, HR 1131, HD 23180, HIP 17448, TYC 2359-1258-1, Gaia EDR3- 216718178536050176",https://in-the-sky.org/data/object.php?id=TYC2359-1258-1
Atlas,03.49.09,24.0311,3.61,50.0,157.6,19.0535,-46.2273,"Atlas, 27-Tau, 27 Tauri, HR 1178, HD 23850, NSV 1345, HIP 17847, TYC 1800-2203-1, Gaia EDR3- 66526127137440128",https://in-the-sky.org/data/object.php?id=TYC1800-2203-1
Atria,16.48.39,-69.0139,1.9,36.3,150.3,17.9851,-31.5313,"Atria, α-TrA, Alpha Trianguli Australe, HR 6217, HD 150798, HIP 82273, TYC 9275-3641-1",https://in-the-sky.org/data/object.php?id=TYC9275-3641-1
Avior,08.22.30,-59.3034,1.95,33.7,310.8,-25.5107,22.0203,"Avior, ε-Car, Epsilon Carinae, HR 3307, HD 71129, NSV 4058, HIP 41037, TYC 8579-2692-1",https://in-the-sky.org/data/object.php?id=TYC8579-2692-1
Axólotl,23.59.5383172,-22.25412163,8.23,149.4603,79.645,147.026,26.865,"Axólotl, CD−23°18108, HD 224693, HIP 118319, SAO 192301",https://en.wikipedia.org/wiki/HD_224693
Ayeyarwady,03.00.1065643,-20.48093773,7.81,29.9645,220.8496,-19.599,-22.666,"BD−21° 533, CPD−21° 295, Gaia DR1 5079636964618154112, Gaia DR2 5079636934554540160, HD 18742, HIP 13993, SAO 168212, PPM 245676, TIC 71345433, TYC 5870-602-1, GSC 05870-00602, 2MASS J03001065-2048091",https://en.wikipedia.org/wiki/HD_18742
Azelfafage,21.42.0566458,51.11226415,4.66,5.5814,198.5973,5.29,-1.78,"Azelfafage, π1 Cyg, 80 Cyg, BD+50°3410, FK5 3733, HD 206672, HIP 107136, HR 8301, SAO 33665",https://en.wikipedia.org/wiki/Pi1_Cygni
Azha,02.56.25,-8.5356,3.9,232.7,160.4,78.0596,-219.2168,"Azha, η-Eri, Eta Eridani, 3-Eri, 3 Eridani, HR 874, HD 18322, NSV 988, HIP 13701, TYC 5287-1076-1, Gaia EDR3- 5173421634271199104",https://in-the-sky.org/data/object.php?id=TYC5287-1076-1
Azmidi,07.49.17,-24.5135,3.32,4.9,259.5,-4.8179,-0.893,"ξ-Pup, Xi Puppis, 7-Pup, 7 Puppis, HR 3045, HD 63700, HIP 38170, TYC 6557-4522-1",https://in-the-sky.org/data/object.php?id=TYC6557-4522-1
Añañuca,09.44.2983677,-45.46354276,10.153,743.9894,218.4485,-462.621,-582.668,"Añañuca, CD−45 5378, GJ 367, HIP 47780, TOI-731, TIC 34068865, TYC 8168-2031-1, 2MASS J09442986-4546351",https://en.wikipedia.org/wiki/Gliese_367
Baekdu,14.56.4835230,74.54033212,6.835,13.6175,74.7667,13.139,3.578,"Baekdu, HD 133086, HIP 73136, BD+75 547, 2MASS J14564834+7454032, WDS J14568+7454A, Gaia DR3 1700658653802527104",https://en.wikipedia.org/wiki/8_Ursae_Minoris
Bake-eo,17.47.53,2.4225,3.73,78.2,197.8,-23.9054,-74.4565,"γ-Oph, Gamma Ophiuchi, 62-Oph, 62 Ophiuchi, HR 6629, HD 161868, HIP 87108, TYC 420-1962-1, Gaia EDR3- 4472097420946809600",https://in-the-sky.org/data/object.php?id=TYC420-1962-1
Barnard's Star,17.57.4849847,4.41361139,9.511,10393.3485,85.5769,-801.551,10362.394,"Proxima Ophiuchi, ""Barnard's Runaway Star"", ""Greyhound of the Skies"", V2500 Ophiuchi, BD+04°3561a, GJ 699, HIP 87937, LFT 1385, LHS 57, LTT 15309, 2MASS J17574849+0441405, GCTP 4098.00, Gl 140-024, Karmn J17578+046, Munich 15040, Vyssotsky 799, Latin: Velox Barnardi",https://en.wikipedia.org/wiki/Barnard%27s_Star
Baten Kaitos,01.51.27,-10.2006,3.73,55.2,132.4,40.7627,-37.2215,"Baten Kaitos, ζ-Cet, Zeta Ceti, 55-Cet, 55 Ceti, HR 539, HD 11353, NSV 638, HIP 8645, TYC 5278-2437-1",https://in-the-sky.org/data/object.php?id=TYC5278-2437-1
Batsũ̀,22.41.5811718,-69.10083207,15.26,800.2154,245.2972,334.419,-726.986,"Batsũ̀, L 119-213, LFT 1732, LHS 3844, NLTT 54534, TOI-136, TIC 410153553, 2MASS J22415815-6910089, WISEA J224158.77-691015.9",https://en.wikipedia.org/wiki/LHS_3844
Beemim,04.24.0221725,-34.01006542,3.96,93.0425,52.4539,73.77,56.7,"Beemim, υ3 Eri, d Eri, 43 Eridani, CD−34°1664, FK5 1121, HD 28028, HIP 20535, HR 1393, SAO 194984",https://en.wikipedia.org/wiki/Upsilon3_Eridani
Beid,04.11.5193956,-6.50152864,4.04,82.6236,7.4828,10.76,81.92,"Beid, ο1 Eri, 38 Eri, BD−07°764, FK5 154, HD 26574, HIP 19587, HR 1298, SAO 131019",https://en.wikipedia.org/wiki/Omicron1_Eridani
Belel,19.21.0423048,-23.37104502,7.55,55.6053,237.0501,-46.661,-30.244,"Belel, CD−23° 15307, CPD−23° 7442, HD 181342, HIP 95124, SAO 188005",https://en.wikipedia.org/wiki/HD_181342
Bellatrix,05.25.07,6.2059,1.66,15.2,212.2,-8.0997,-12.8621,"Bellatrix, γ-Ori, Gamma Orionis, 24-Ori, 24 Orionis, HR 1790, HD 35468, NSV 1972, HIP 25336, TYC 113-1856-1",https://in-the-sky.org/data/object.php?id=TYC113-1856-1
Berehynia,04.24.595350,39.2738313,12.41,17.0608,213.4619,14.233,-9.407,"Berehynia, Gaia DR3 179498266829041664, TYC 2883-1687-1, GSC 02883-01687, 2MASS J04245952+3927382",https://en.wikipedia.org/wiki/HAT-P-15
Betelgeuse,05.55.10,7.2425,0.57,29.8,67.7,27.5712,11.3078,"Betelgeuse, α-Ori, Alpha Orionis, 58-Ori, 58 Orionis, HR 2061, HD 39801, HIP 27989, TYC 129-1873-1",https://in-the-sky.org/data/object.php?id=TYC129-1873-1
Bharani,02.49.59,27.1537,3.59,134.3,150.2,66.7436,-116.5409,"c-Ari, c Arietis, 41-Ari, 41 Arietis, HR 838, HD 17573, NSV 951, HIP 13209, TYC 1789-1490-1",https://in-the-sky.org/data/object.php?id=TYC1789-1490-1
Bibhā,09.56.0591853,-3.48303233,8.73,68.8847,13.43,-67.001,15.999,"Bibhā, BD−03 2815, HD 86081, HIP 48711, SAO 137236",https://en.wikipedia.org/wiki/HD_86081
Biham,22.10.11,6.1152,3.53,283.8,83.8,282.14,30.6502,"Biham, θ-Peg, Theta Pegasi, 26-Peg, 26 Pegasi, HR 8450, HD 210418, NSV 14057, HIP 109427, TYC 565-1999-1",https://in-the-sky.org/data/object.php?id=TYC565-1999-1
Bodu,18.01.3040868,21.35448121,4.83,39.5237,13.4603,9.2,38.438,"HD 164669, HR 6730, ADS 10993, TIC 424429430, TYC 1566-3674-1",https://en.wikipedia.org/wiki/95_Herculis
Bosona,21.43.24900,-7.242971,8.34,2.8181,50.8036,2.184,1.781,"BD−08°5719, Gaia DR2 2667434008056899712, HD 206610, HIP 107251, SAO 145619, TIC 333314269, TYC 5221-00210-1, 2MASS J21432490-0724296, WISE J214324.89-072429.7",https://en.wikipedia.org/wiki/HD_206610
Botein,03.11.37767,19.433602,4.349,153.9724,182.0791,153.871,-5.586,"Botein, Botejn, δ Arietis, 57 Arietis, BD+19°477, FK5 114, GC 3805, HD 19787, HIP 14838, HR 951, SAO 93328, PPM 118897",https://en.wikipedia.org/wiki/Delta_Arietis
Brachium,15.04.04,-25.1655,3.28,85.0,239.9,-73.5379,-42.6284,"σ-Lib, Sigma Librae, 20-Lib, 20 Librae, HR 5603, HD 133216, HIP 73714, TYC 6752-1455-1, Gaia EDR3- 6227443304915069056",https://in-the-sky.org/data/object.php?id=TYC6752-1455-1
Bubup,05.37.020168,-73.4157645,6.7,176.1698,218.0157,138.794,-108.499,"Bubup, CD−73°253, HD 38283, HIP 26380, SAO 256213, 2MASS J05370199-7341574",https://en.wikipedia.org/wiki/HD_38283
Buna,02.37.0191118,42.03454685,7.28,56.6626,223.3052,-38.864,-41.234,"BD+41°496, HIP 12191, SAO 38170",https://en.wikipedia.org/wiki/HD_16175
Bunda,21.37.45110,-7.511513,4.69,117.4595,192.0064,114.89,-24.434,"Bunda, ξ Aqr, 23 Aqr, BD−08 5701, FK5 1569, HD 205767, HIP 106786, HR 8264, SAO 145537, WDS J21378-0751AB",https://en.wikipedia.org/wiki/Xi_Aquarii
Bélénos,01.25.1251573,28.3400103,7.12,296.5888,212.0916,251.27,-157.57,"Bélénos, BD+27°225, GC 1710, HD 8574, HIP 6643, SAO 74702, LTT 10508, NLTT 4709",https://en.wikipedia.org/wiki/HD_8574
Canopus,06.23.57,-52.4144,-0.63,30.6,40.6,19.9137,23.2337,"Canopus, α-Car, Alpha Carinae, HR 2326, HD 45348, HIP 30438, TYC 8534-2277-1",https://in-the-sky.org/data/object.php?id=TYC8534-2277-1
Capella,05.16.41,45.5956,0.08,433.5,170.0,75.2765,-426.9142,"Capella, α-Aur, Alpha Aurigae, 13-Aur, 13 Aurigae, HR 1708, HD 34029, NSV 1897, HIP 24608",https://in-the-sky.org/data/object.php?id=HIP24608
Caph,00.09.10,59.09,2.28,553.5,109.0,523.3445,-180.202,"Caph, β-Cas, Beta Cassiopeiae, 11-Cas, 11 Cassiopeiae, HR 21, HD 432, HIP 746, TYC 3664-1985-1",https://in-the-sky.org/data/object.php?id=TYC3664-1985-1
Castor,07.34.35,31.5318,1.58,240.3,232.8,-191.4061,-145.2852,"Castor, YY Gem, α-Gem, Alpha Geminorum, 66-Gem, 66 Geminorum, HR 2891, HD 60179, HIP 36850, TYC 2457-2407-1, Gaia EDR3- 892348694913501952",https://in-the-sky.org/data/object.php?id=TYC2457-2407-1
Castula,00.56.3990413,59.10518006,4.62,102.5269,243.9165,-92.085,-45.079,"Castula, υ2 Cas, 28 Cassiopeiae, BD+58°138, HD 5395, HIP 4422, HR 265, SAO 21855",https://en.wikipedia.org/wiki/Upsilon2_Cassiopeiae
Cebalrai,17.43.28,4.3404,2.75,164.8,345.3,-41.8193,159.4057,"Cebalrai, β-Oph, Beta Ophiuchi, 60-Oph, 60 Ophiuchi, HR 6603, HD 161096, HIP 86742, TYC 423-1724-1, Gaia EDR3- 4473334474604992384",https://in-the-sky.org/data/object.php?id=TYC423-1724-1
Ceibo,07.39.2185290,-78.16443078,9.36,44.4581,206.0959,-19.556,-39.926,"Ceibo, CD−77°298, CPD−77°324, HD 63454, HIP 37284, TYC 9385-1045-1",https://en.wikipedia.org/wiki/HD_63454
Celaeno,03.44.482154,24.1722093,5.448,48.6388,244.7732,20.73,-44.0,"16 Tauri, HR 1140, HD 23288, BD+23 505, HIP 17489, SAO 76126, GC 4475.",https://en.wikipedia.org/wiki/Celaeno_(star)
Cervantes,17.44.0870314,-51.50025916,5.15,191.4921,184.5029,-15.034,-190.901,"Cervantes, μ Arae, CD−51°11094, FK5 662, GC 24024, GJ 691, HD 160691, HIP 86796, HR 6585, SAO 244981, PPM 346258, LTT 7053",https://en.wikipedia.org/wiki/Mu_Arae
Chalawan,10.59.279728,40.2548921,5.03,321.619,9.8791,-316.85,55.18,"Chalawan, BD+41°2147, FK5 1282, GC 15087, GCTP 2556.00, Gliese 407, HD 95128, HIP 53721, HR 4277, LTT 12934, SAO 43557",https://en.wikipedia.org/wiki/47_Ursae_Majoris
Chamukuy,04.28.39,15.5215,3.39,111.7,103.9,108.429,-26.8335,"θ²-Tau, Theta2 Tauri, 78-Tau, 78 Tauri, HR 1412, HD 28319, HIP 20894, TYC 1265-1172-1",https://in-the-sky.org/data/object.php?id=TYC1265-1172-1
Chaophraya,02.54.451342,-10.5353025,11.44,9.5334,20.7847,3.383,8.913,"Chaophraya, TOI-391, TIC 382391899, WASP-50, TYC 5290-462-1, GSC 05290-00462, 2MASS J02544513-1053530",https://en.wikipedia.org/wiki/WASP-50
Chara,12.33.4454425,41.21269214,4.25,762.8627,22.5179,-704.702,292.155,"Chara, β CVn, 8 CVn, BD+42 2321, FK5 470, GJ 475, HD 109358, HIP 61317, HR 4785, SAO 44230, NGC 4530",https://en.wikipedia.org/wiki/Beta_Canum_Venaticorum
Chasoň,18.17.373127,36.371717,11.95,13.3065,63.6602,11.925,5.904,"Chasoň, TOI-2135, TIC 76419763, TYC 2634-1087-1, GSC 02634-01087, 2MASS J18173731+3637170, HAT-P-5",https://en.wikipedia.org/wiki/HAT-P-5
Chechia,20.16.0600378,4.345086,6.44,66.1177,218.1959,-40.884,-51.962,"Chechia, BD+04°4395, FK5 3623, HD 192699, HIP 99894, HR 7288, SAO 125628, TYC 504-2358-1, GSC 00504-02358, 2MASS J20160600+0434509",https://en.wikipedia.org/wiki/HD_192699
Chertan,11.14.14,15.2545,3.3,99.3,217.6,-60.5874,-78.6744,"Chertan, θ-Leo, Theta Leonis, 70-Leo, 70 Leonis, HR 4359, HD 97633, NSV 5144, HIP 54879, TYC 1437-2847-1, Gaia EDR3- 3970052886914547712",https://in-the-sky.org/data/object.php?id=TYC1437-2847-1
Citadelle,00.19.170660,14.0317123,8.36,76.4032,192.9092,74.4721547,-17.069,"BD+13°34, Gaia DR2 2768172019308167296, HD 1502, HIP 1547, SAO 91845, TYC 601-636-1, GSC 00601-00636, 2MASS J00191704+1403172",https://en.wikipedia.org/wiki/HD_1502
Citalá,07.00.18036,-5.220178,6.29,141.6932,34.6852,-116.513,80.633,"Citalá, BD−05°1910, HD 52265, HIP 33719, HR 2622, SAO 134031",https://en.wikipedia.org/wiki/HD_52265
Cocibolca,00.44.2665067,-26.30564555,7.78,347.2967,64.5349,313.556,149.324,"Cocibolca, CD−27°223, GJ 9024, HD 4208, HIP 3479, SAO 166526, LTT 410",https://en.wikipedia.org/wiki/HD_4208
Copernicus,08.52.408627,28.1958821,13.15,539.7519,243.0593,-481.176,-244.544,"Copernicus, Rho1 Cancri, 55 Cnc, BD+28°1660, GJ 324, HD 75732, HIP 43587, HR 3522, SAO 80585",https://en.wikipedia.org/wiki/55_Cancri
Cor Caroli,12.56.01,38.1907,2.89,240.2,283.2,-233.8537,54.8499,"Cor Caroli, α²-CVn, Alpha2 Canum Venaticorum, 12-CVn, 12 Canum Venaticorum, HR 4915, HD 112413, HIP 63125, TYC 3021-2645-1, Gaia EDR3- 1517698716348324992",https://in-the-sky.org/data/object.php?id=TYC3021-2645-1
Cujam,16.25.2495425,14.01597711,4.5821,72.3521,235.6159,40.86,-59.71,"Cujam, ω Her, 24 Her, 51 Ser, BD+14°3049, FK5 613, HD 148112, HIP 80463, HR 6117, SAO 102153, WDS J16254+1402AB",https://en.wikipedia.org/wiki/Omega_Herculis
Cursa,05.07.51,-5.051,2.79,112.0,227.7,-82.8387,-75.3774,"Cursa, β-Eri, Beta Eridani, 67-Eri, 67 Eridani, HR 1666, HD 33111, NSV 1841, HIP 23875, TYC 4759-1671-1",https://in-the-sky.org/data/object.php?id=TYC4759-1671-1
Dabih,20.21.00,-14.4653,3.07,45.5,80.7,44.9019,7.353,"Dabih, β-Cap, Beta Capricorni, 9-Cap, 9 Capricorni, HR 7776, HD 193495, HIP 100345, TYC 5753-2281-1",https://in-the-sky.org/data/object.php?id=TYC5753-2281-1
Dalim,03.12.04,-28.592,3.92,715.0,31.2,370.3893,611.5854,"α-For, Alpha Fornacis, HR 963, HD 20010, NSV 1074, HIP 14879, TYC 6445-990-1",https://in-the-sky.org/data/object.php?id=TYC6445-990-1
Danfeng,23.20.0752452,-60.03546447,11.02,344.4991,248.2276,-319.924,-127.782,"Danfeng, CD−60 8051, GJ 4332, HIP 115211, L 168-9, LTT 9494, NLTT 56509, PM J23201-6003, TOI-134, TIC 234994474, TYC 9126-748-1, 2MASS J23200751-6003545, WISEA J232007.06-600355.8",https://en.wikipedia.org/wiki/L_168-9
Deltoton,02.17.0323016,34.1327226,4.865,1177.9928,192.0981,1151.83,-246.89,"Deltoton, δ Tri, Delta Tri, 8 Trianguli, BD+33°395, GJ 92, HD 13974, HIP 10644, HR 660, SAO 55420, LHS 154, LTT 10770",https://en.wikipedia.org/wiki/Delta_Trianguli
Deneb,20.41.25,45.1649,1.33,2.7,47.4,1.9875,1.8276,"Deneb, α-Cyg, Alpha Cygni, 50-Cyg, 50 Cygni, HR 7924, HD 197345, HIP 102098, TYC 3574-3347-1",https://in-the-sky.org/data/object.php?id=TYC3574-3347-1
Deneb Algedi,21.47.02,-16.0742,2.85,394.3,138.8,259.7213,-296.6772,"δ-Cap, Delta Capricorni, 49-Cap, 49 Capricorni, HR 8322, HD 207098, HIP 107556, TYC 6363-1044-1, Gaia EDR3- 6838311796136238976",https://in-the-sky.org/data/object.php?id=TYC6363-1044-1
Denebola,11.49.03,14.342,2.13,510.7,257.0,-497.6108,-114.8825,"Denebola, β-Leo, Beta Leonis, 94-Leo, 94 Leonis, HR 4534, HD 102647, HIP 57632, TYC 870-988-1",https://in-the-sky.org/data/object.php?id=TYC870-988-1
Diadem,13.09.59285,17.314604,4.29,455.5769,18.0607,-433.13,141.24,"α Com, Alpha Comae Berenices, Alpha Com, 42 Comae Berenices, 42 Com, STF 1728, ADS 8804 , BD+18 2697, CCDM J13100+1732, GC 17833, Gliese 501, HIP 64241, IDS 13051+1803 AB, LTT 13802, NLTT 33105, PPM 129630, SAO 100443, WDS 13100+1732.",https://en.wikipedia.org/wiki/Alpha_Comae_Berenices
Dilmun,07.10.2406046,-39.05505712,10.51,25.9334,81.7193,-3.735,25.663,"Dilmun, CD−38 3220, TOI-495, WASP-121, TYC 7630-352-1, 2MASS J07102406-3905506",https://en.wikipedia.org/wiki/WASP-121
Dingolay,11.04.4445485,-2.30475901,8.254,33.0856,212.7573,27.824,-17.902,"AG−02°638, BD−01°2476, Gaia DR2 3791263156547622784, GC 15229, HD 96063, HIP 54158, SAO 137979, PPM 178377, TYC 4924-460-1, GSC 04924-00460, 2MASS J11044445-0230475",https://en.wikipedia.org/wiki/HD_96063
Diphda,00.43.35,-17.5912,2.05,234.7,82.2,232.5285,31.8524,"Diphda, β-Cet, Beta Ceti, 16-Cet, 16 Ceti, HR 188, HD 4128, NSV 272, HIP 3419, TYC 5847-2333-1",https://in-the-sky.org/data/object.php?id=TYC5847-2333-1
Diya,02.44.0960960,-30.10085637,10.96,10.8096,225.2211,7.614,-7.673,"Diya, CD−30 1019, TOI-264, TIC 122612091, WASP-72, TYC 7011-487-1, 2MASS J02440959-3010085",https://en.wikipedia.org/wiki/WASP-72
Dofida,13.32.2555543,-47.16169091,7.17,127.4599,258.7483,24.87,-125.01,"Dofida, CD−46° 8708, GC 18290, HD 117618, HIP 66047, SAO 224228",https://en.wikipedia.org/wiki/HD_117618
Dombay,13.44.225937,48.0143206,11.577,30.9776,219.2962,-19.619,-23.973,"Dombay, TOI-1419, TIC 311035838, TYC 3466-819-1, GSC 03466-00819, 2MASS J13442258+4801432, HAT-P-3",https://en.wikipedia.org/wiki/HAT-P-3
Dschubba,16.00.20,-22.3717,2.3,36.9,196.1,-10.2329,-35.4528,"Dschubba, δ-Sco, Delta Scorpii, 7-Sco, 7 Scorpii, HR 5953, HD 143275, HIP 78401, TYC 6779-2194-1",https://in-the-sky.org/data/object.php?id=TYC6779-2194-1
Dubhe,11.03.43,61.4504,1.82,138.5,255.5,-134.0884,-34.6776,"Dubhe, α-UMa, Alpha Ursae Majoris, 50-UMa, 50 Ursae Majoris, HR 4301, HD 95689, NSV 5070, HIP 54061, TYC 4146-1274-1",https://in-the-sky.org/data/object.php?id=TYC4146-1274-1
Dziban,17.41.5810460,72.09248581,5.82,278.137,262.7937,34.89,-275.94,"Dziban, 31 Dra, ADS 10759 AB, Gliese 694.1",https://en.wikipedia.org/wiki/Psi1_Draconis
Dìwö,15.59.509492,-28.0342313,11.5,12.5358,221.2354,-8.263,-9.427,"Dìwö, CD−27 10695, TOI-1050, TIC 66818296, WASP-17, TYC 6787-1927-1, 2MASS J15595095-2803422, 1SWASP J155950.94−280342.3",https://en.wikipedia.org/wiki/WASP-17
Ebla,23.09.1072701,-2.15386854,8.628,638.9586,188.7512,631.52,-97.214,"Ebla, BD−03°5577, HD 218566, HIP 114322, SAO 146533",https://en.wikipedia.org/wiki/HD_218566
Edasich,15.24.55,58.5758,3.3,19.1,334.7,-8.1625,17.268,"Edasich, ι-Dra, Iota Draconis, 12-Dra, 12 Draconis, HR 5744, HD 137759, NSV 7077, HIP 75458, TYC 3875-1620-1, Gaia EDR3- 1614731957531452544",https://in-the-sky.org/data/object.php?id=TYC3875-1620-1
Electra,03.44.52,24.0647,3.71,50.5,156.0,20.5402,-46.134,"Electra, 17-Tau, 17 Tauri, HR 1142, HD 23302, HIP 17499, TYC 1799-1441-1, Gaia EDR3- 65271996684817280",https://in-the-sky.org/data/object.php?id=TYC1799-1441-1
Elgafar,14.28.1213894,-2.13406579,4.81,139.5885,268.3415,-139.53,-4.04,"Elgafar, φ Vir, 105 Virginis, BD−01°2957, FK5 533, GJ 550.2, GJ 9481, HD 126868, HIP 70755, HR 5409, SAO 139951",https://en.wikipedia.org/wiki/Phi_Virginis
Elkurud,06.07.3163216,-37.15105114,5.02,0.4272,16.3139,0.12,0.41,"Elkurud, θ Col, CD−37°2609, FK5 2468, HD 42167, HIP 29034, HR 2177, SAO 196514",https://en.wikipedia.org/wiki/Theta_Columbae
Elnath,05.26.17,28.3628,1.68,175.1,172.5,22.8551,-173.602,"Elnath, β-Tau, Beta Tauri, 112-Tau, 112 Tauri, HR 1791, HD 35497, HIP 25428, TYC 1859-1470-1",https://in-the-sky.org/data/object.php?id=TYC1859-1470-1
Eltanin,17.56.36,51.292,2.23,24.3,200.4,-8.4703,-22.776,"Eltanin, γ-Dra, Gamma Draconis, 33-Dra, 33 Draconis, HR 6705, HD 164058, HIP 87833, TYC 3523-1684-1",https://in-the-sky.org/data/object.php?id=TYC3523-1684-1
Emiw,01.10.4722139,-66.11173901,8.06,165.5652,228.1264,110.513,-123.283,"Emiw, CD−66°60, Gaia DR2 4704957491028733824, HD 7199, HIP 5529, SAO 248334, 2MASS J01104719-6611171",https://en.wikipedia.org/wiki/HD_7199
Enif,21.44.11,9.523,2.39,26.9,89.1,26.8967,0.4225,"Enif, ε-Peg, Epsilon Pegasi, 8-Peg, 8 Pegasi, HR 8308, HD 206778, HIP 107315, TYC 1125-2186-1",https://in-the-sky.org/data/object.php?id=TYC1125-2186-1
Errai,23.39.20,77.3756,3.21,135.4,339.3,-47.8605,126.6591,"Errai, γ-Cep, Gamma Cephei, 35-Cep, 35 Cephei, HR 8974, HD 222404, NSV 14656, HIP 116727, TYC 4606-3584-1",https://in-the-sky.org/data/object.php?id=TYC4606-3584-1
