Common Name,Right Ascension (HH.MM.SS),Declination (DD.SS),"Magnitude (V, Visual)",Proper Motion Speed (mas/yr),Proper Motion Angle (DD.SS),Proper Motion RA (mas/yr),Proper Motion DEC (mas/yr),Alternative Names,URL
Sadalmelik,22.05.47,-0.1911,2.93,21.3,119.3,18.5751,-10.4238,"Sadalmelik, α-Aqr, Alpha Aquarii, 34-Aqr, 34 Aquarii, HR 8414, HD 209750, HIP 109074, TYC 5224-1806-1, Gaia EDR3- 2680356911816018048",https://in-the-sky.org/data/object.php?id=TYC5224-1806-1
Sadalsuud,21.31.33,-5.3416,2.89,20.9,113.0,19.2386,-8.1663,"Sadalsuud, β-Aqr, Beta Aquarii, 22-Aqr, 22 Aquarii, HR 8232, HD 204867, HIP 106278, TYC 5216-1725-1, Gaia EDR3- 2671038928727970944",https://in-the-sky.org/data/object.php?id=TYC5216-1725-1
Sadr,20.22.13,40.1524,2.2,2.6,110.8,2.4305,-0.9233,"Sadr, γ-Cyg, Gamma Cygni, 37-Cyg, 37 Cygni, HR 7796, HD 194093, NSV 13048, HIP 100453, TYC 3156-2223-1, Gaia EDR3- 2067518817314952576",https://in-the-sky.org/data/object.php?id=TYC3156-2223-1
Safina,23.09.26,-21.102,3.68,61.4,60.5,53.4398,30.2348,"c²-Aqr, c2 Aquarii, 88-Aqr, 88 Aquarii, HR 8812, HD 218594, HIP 114341, TYC 6401-1355-1, Gaia EDR3- 2386316510063903616",https://in-the-sky.org/data/object.php?id=TYC6401-1355-1
Sagarmatha,11.35.5152322,-4.45205046,8.42,37.4088,72.0402,-11.535,35.586,"Sagarmatha, BD–03°3147, HD 100777, HIP 56572, SAO 138288, TYC 4933-678-1, 2MASS J11355152-0445204",https://en.wikipedia.org/wiki/HD_100777
Saiph,05.47.45,-9.401,2.06,1.9,131.2,1.4296,-1.2515,"Saiph, κ-Ori, Kappa Orionis, 53-Ori, 53 Orionis, HR 2004, HD 38771, NSV 2641, HIP 27366, TYC 5351-760-1, Gaia EDR3- 3011968416163350272",https://in-the-sky.org/data/object.php?id=TYC5351-760-1
Salm,23.20.3824188,23.44252098,4.58,30.9536,197.9315,29.45,-9.53,"Salm, 62 Pegasi, BD+22°4810, FK5 880, GC 32503, HIP 115250, HR 8880, HD 220061, SAO 91186",https://en.wikipedia.org/wiki/Tau_Pegasi
Sansuna,20.12.47,18.0618,10.16,20.8851,218.2785,16.395,-12.938,"Sansuna, HAT-P-34, HD 351766, TYC 1622-1261-1, BD +17 4250",https://www.wikidata.org/wiki/Q4039819
Sargas,17.37.19,-42.5952,1.86,6.4,119.4,5.5758,-3.1418,"Sargas, θ-Sco, Theta Scorpii, HR 6553, HD 159532, NSV 9233, HIP 86228, TYC 7892-7679-1",https://in-the-sky.org/data/object.php?id=TYC7892-7679-1
Sarin,17.15.01,24.5018,3.11,158.2,187.6,-20.923,-156.8103,"Sarin, δ-Her, Delta Herculis, 65-Her, 65 Herculis, HR 6410, HD 156164, NSV 8419, HIP 84379, TYC 2065-1930-1, Gaia EDR3- 4573412435280434560",https://in-the-sky.org/data/object.php?id=TYC2065-1930-1
