Common Name,Alternative Names,Right Ascension,Declination,Magnitude (Visual),"Proper Motion (Speed, mas/yr)","Proper Motion (Angle, Degrees)",URL
Athebyne,"η-Dra, Eta Draconis, 14-Dra, 14 Draconis, HR 6132, HD 148387, NSV 7713, HIP 80331, TYC 4190-2568-1, Gaia EDR3- 1625209684868707328",16.23.59,+61.3052,2.73,59.4,344.0,https://in-the-sky.org/data/object.php?id=TYC4190-2568-1
Imai,"δ-Cru, Delta Crucis, HR 4656, HD 106490, HIP 59747, TYC 8645-2263-1, Gaia EDR3- 6071060144089351808",12.15.08,-58.4456,2.74,38.6,253.0,https://in-the-sky.org/data/object.php?id=TYC8645-2263-1
Porrima,"Porrima, γ-Vir, Gamma Virginis, 29-Vir, 29 Virginis, HR 4825, HD 110379, NSV 5859, HIP 61941",12.41.40,-01.2658,2.74,617.8,275.7,https://in-the-sky.org/data/object.php?id=HIP61941
Cebalrai,"Cebalrai, β-Oph, Beta Ophiuchi, 60-Oph, 60 Ophiuchi, HR 6603, HD 161096, HIP 86742, TYC 423-1724-1, Gaia EDR3- 4473334474604992384",17.43.28,+04.3404,2.75,164.8,345.3,https://in-the-sky.org/data/object.php?id=TYC423-1724-1
Paikauhale,"τ-Sco, Tau Scorpii, 23-Sco, 23 Scorpii, HR 6165, HD 149438, HIP 81266, TYC 6807-1012-1, Gaia EDR3- 6044420729667868928",16.35.52,-28.1258,2.78,24.9,203.4,https://in-the-sky.org/data/object.php?id=TYC6807-1012-1
Hatysa,"ι-Ori, Iota Orionis, 44-Ori, 44 Orionis, HR 1899, HD 37043, NSV 2334, HIP 26241, TYC 4778-1401-1",05.35.25,-05.5435,2.78,1.5,107.9,https://in-the-sky.org/data/object.php?id=TYC4778-1401-1
Kornephoros,"Kornephoros, β-Her, Beta Herculis, 27-Her, 27 Herculis, HR 6148, HD 148856, NSV 7778, HIP 80816, TYC 1518-1442-1, Gaia EDR3- 1297565458994346240",16.30.13,+21.2922,2.78,99.9,261.4,https://in-the-sky.org/data/object.php?id=TYC1518-1442-1
Cursa,"Cursa, β-Eri, Beta Eridani, 67-Eri, 67 Eridani, HR 1666, HD 33111, NSV 1841, HIP 23875, TYC 4759-1671-1",05.07.51,-05.0510,2.79,112.0,227.7,https://in-the-sky.org/data/object.php?id=TYC4759-1671-1
Rastaban,"Rastaban, β-Dra, Beta Draconis, 23-Dra, 23 Draconis, HR 6536, HD 159181, HIP 85670, TYC 3521-1800-1, Gaia EDR3- 1415230383034813824",17.30.25,+52.1805,2.80,19.7,305.2,https://in-the-sky.org/data/object.php?id=TYC3521-1800-1
Kaus Borealis,"Kaus Borealis, λ-Sgr, Lambda Sagittarii, 22-Sgr, 22 Sagittarii, HR 6913, HD 169916, HIP 90496, TYC 6861-3180-1, Gaia EDR3- 4076915349846977664",18.27.58,-25.2521,2.81,190.7,194.0,https://in-the-sky.org/data/object.php?id=TYC6861-3180-1
Vindemiatrix,"Vindemiatrix, ε-Vir, Epsilon Virginis, 47-Vir, 47 Virginis, HR 4932, HD 113226, NSV 6064, HIP 63608, TYC 886-1326-1, Gaia EDR3- 3736865265441207424",13.02.10,+10.5733,2.82,274.5,274.1,https://in-the-sky.org/data/object.php?id=TYC886-1326-1
Tureis,"Tureis, ρ-Pup, Rho Puppis, 15-Pup, 15 Puppis, HR 3185, HD 67523, HIP 39757, TYC 6555-3245-1, Gaia EDR3- 5698015743046182272",08.07.32,-24.1814,2.83,95.2,299.5,https://in-the-sky.org/data/object.php?id=TYC6555-3245-1
Algenib,"Algenib, γ-Peg, Gamma Pegasi, 88-Peg, 88 Pegasi, HR 39, HD 886, HIP 1067, TYC 1179-1775-1, Gaia EDR3- 2769202742740232960",00.13.14,+15.1100,2.84,10.7,177.4,https://in-the-sky.org/data/object.php?id=TYC1179-1775-1
Nihal,"Nihal, β-Lep, Beta Leporis, 9-Lep, 9 Leporis, HR 1829, HD 36079, NSV 2008, HIP 25606, TYC 5928-1657-1, Gaia EDR3- 2968097043227107840",05.28.14,-20.4532,2.84,86.2,183.3,https://in-the-sky.org/data/object.php?id=TYC5928-1657-1
Deneb Algedi,"δ-Cap, Delta Capricorni, 49-Cap, 49 Capricorni, HR 8322, HD 207098, HIP 107556, TYC 6363-1044-1, Gaia EDR3- 6838311796136238976",21.47.02,-16.0742,2.85,394.3,138.8,https://in-the-sky.org/data/object.php?id=TYC6363-1044-1
Alcyone,"Alcyone, η-Tau, Eta Tauri, 25-Tau, 25 Tauri, HR 1165, HD 23630, HIP 17702, TYC 1800-2202-1, Gaia EDR3- 66714384142368256",03.47.29,+24.0617,2.88,47.8,156.1,https://in-the-sky.org/data/object.php?id=TYC1800-2202-1
Gomeisa,"Gomeisa, β-CMi, Beta Canis Minoris, 3-CMi, 3 Canis Minoris, HR 2845, HD 58715, HIP 36188, TYC 764-2774-1",07.27.09,+08.1721,2.89,64.4,233.5,https://in-the-sky.org/data/object.php?id=TYC764-2774-1
Cor Caroli,"Cor Caroli, α²-CVn, Alpha2 Canum Venaticorum, 12-CVn, 12 Canum Venaticorum, HR 4915, HD 112413, HIP 63125, TYC 3021-2645-1, Gaia EDR3- 1517698716348324992",12.56.01,+38.1907,2.89,240.2,283.2,https://in-the-sky.org/data/object.php?id=TYC3021-2645-1
Fang,"π-Sco, Pi Scorpii, 6-Sco, 6 Scorpii, HR 5944, HD 143018, NSV 7371, HIP 78265, TYC 6783-2697-1, Gaia EDR3- 6235406071207202688",15.58.51,-26.0651,2.89,29.0,205.3,https://in-the-sky.org/data/object.php?id=TYC6783-2697-1
Sadalsuud,"Sadalsuud, β-Aqr, Beta Aquarii, 22-Aqr, 22 Aquarii, HR 8232, HD 204867, HIP 106278, TYC 5216-1725-1, Gaia EDR3- 2671038928727970944",21.31.33,-05.3416,2.89,20.9,113.0,https://in-the-sky.org/data/object.php?id=TYC5216-1725-1
Tejat,"μ-Gem, Mu Geminorum, 13-Gem, 13 Geminorum, HR 2286, HD 44478, HIP 30343, TYC 1878-1429-1",06.22.57,+22.3049,2.90,123.6,152.9,https://in-the-sky.org/data/object.php?id=TYC1878-1429-1
Albaldah,"π-Sgr, Pi Sagittarii, 41-Sgr, 41 Sagittarii, HR 7264, HD 178524, NSV 11769, HIP 94141, TYC 6295-282-1, Gaia EDR3- 4082115215112774272",19.09.45,-21.0125,2.90,36.8,182.1,https://in-the-sky.org/data/object.php?id=TYC6295-282-1
Alniyat,"σ-Sco, Sigma Scorpii, 20-Sco, 20 Scorpii, HR 6084, HD 147165, HIP 80112, TYC 6798-540-1, Gaia EDR3- 6048602103663486592",16.21.11,-25.3534,2.90,19.4,213.1,https://in-the-sky.org/data/object.php?id=TYC6798-540-1
Fawaris,"δ-Cyg, Delta Cygni, 18-Cyg, 18 Cygni, HR 7528, HD 186882, NSV 12380, HIP 97165, TYC 3557-2486-1, Gaia EDR3- 2079784488001577600",19.44.58,+45.0751,2.91,63.2,41.5,https://in-the-sky.org/data/object.php?id=TYC3557-2486-1
Matar,"Matar, η-Peg, Eta Pegasi, 44-Peg, 44 Pegasi, HR 8650, HD 215182, NSV 14285, HIP 112158, TYC 2736-1823-1",22.43.00,+30.1316,2.93,28.8,152.9,https://in-the-sky.org/data/object.php?id=TYC2736-1823-1
Sadalmelik,"Sadalmelik, α-Aqr, Alpha Aquarii, 34-Aqr, 34 Aquarii, HR 8414, HD 209750, HIP 109074, TYC 5224-1806-1, Gaia EDR3- 2680356911816018048",22.05.47,-00.1911,2.93,21.3,119.3,https://in-the-sky.org/data/object.php?id=TYC5224-1806-1
Okab,"ζ-Aql, Zeta Aquilae, 17-Aql, 17 Aquilae, HR 7235, HD 177724, NSV 11724, HIP 93747, TYC 1052-3027-1, Gaia EDR3- 4314399312979641728",19.05.24,+13.5146,2.95,96.1,183.9,https://in-the-sky.org/data/object.php?id=TYC1052-3027-1
Zaurak,"Zaurak, γ-Eri, Gamma Eridani, 34-Eri, 34 Eridani, HR 1231, HD 25025, HIP 18543, TYC 5311-1285-1",03.58.01,-13.3030,2.96,128.8,151.4,https://in-the-sky.org/data/object.php?id=TYC5311-1285-1
Alnasl,"Alnasl, γ-Sgr, Gamma Sagittarii, 10-Sgr, 10 Sagittarii, HR 6746, HD 165135, NSV 10173, HIP 88635, TYC 7391-2710-1",18.05.48,-30.2526,2.96,188.8,196.6,https://in-the-sky.org/data/object.php?id=TYC7391-2710-1
Algorab,"Algorab, δ-Crv, Delta Corvi, 7-Crv, 7 Corvi, HR 4757, HD 108767, NSV 5656, HIP 60965, TYC 6103-2395-1, Gaia EDR3- 3520586071217872896",12.29.51,-16.3057,2.97,251.3,236.4,https://in-the-sky.org/data/object.php?id=TYC6103-2395-1
Aldhanab,"γ-Gru, Gamma Gruis, HR 8353, HD 207971, HIP 108085, TYC 7494-1748-1",21.53.55,-37.2153,2.98,99.0,97.7,https://in-the-sky.org/data/object.php?id=TYC7494-1748-1
Mebsuta,"Mebsuta, ε-Gem, Epsilon Geminorum, 27-Gem, 27 Geminorum, HR 2473, HD 48329, NSV 3183, HIP 32246, TYC 1897-1639-1, Gaia EDR3- 3384529341302871296",06.43.55,+25.0751,2.99,12.7,202.4,https://in-the-sky.org/data/object.php?id=TYC1897-1639-1
Tianguan,"ζ-Tau, Zeta Tauri, 123-Tau, 123 Tauri, HR 1910, HD 37202, HIP 26451, TYC 1310-2697-1, Gaia EDR3- 3402918982515591168",05.37.38,+21.0832,3.00,20.1,174.9,https://in-the-sky.org/data/object.php?id=TYC1310-2697-1
Xamidimura,"μ¹-Sco, Mu1 Scorpii, HR 6247, HD 151890, HIP 82514, TYC 7868-1821-1",16.51.52,-38.0250,3.00,24.5,205.6,https://in-the-sky.org/data/object.php?id=TYC7868-1821-1
Furud,"Furud, ζ-CMa, Zeta Canis Majoris, 1-CMa, 1 Canis Majoris, HR 2282, HD 44402, NSV 2927, HIP 30122, TYC 7073-2426-1, Gaia EDR3- 2896572746685604480",06.20.18,-30.0348,3.02,7.4,55.1,https://in-the-sky.org/data/object.php?id=TYC7073-2426-1
Almaaz,"ε-Aur, Epsilon Aurigae, 7-Aur, 7 Aurigae, HR 1605, HD 31964, HIP 23416, TYC 2907-1275-1, Gaia EDR3- 205499655242974464",05.01.58,+43.4923,3.03,3.2,163.9,https://in-the-sky.org/data/object.php?id=TYC2907-1275-1
Pherkad,"Pherkad, γ-UMi, Gamma Ursae Minoris, 13-UMi, 13 Ursae Minoris, HR 5735, HD 137422, HIP 75097, TYC 4414-2314-1",15.20.43,+71.5002,3.03,25.2,315.3,https://in-the-sky.org/data/object.php?id=TYC4414-2314-1
Seginus,"Seginus, γ-Boo, Gamma Bootis, 27-Boo, 27 Bootis, HR 5435, HD 127762, HIP 71075, TYC 3036-1151-1",14.32.04,+38.1828,3.04,190.4,322.6,https://in-the-sky.org/data/object.php?id=TYC3036-1151-1
Tania Australis,"Tania Australis, μ-UMa, Mu Ursae Majoris, 34-UMa, 34 Ursae Majoris, HR 4069, HD 89758, NSV 4829, HIP 50801, TYC 3004-1418-1",10.22.19,+41.2958,3.04,88.8,293.5,https://in-the-sky.org/data/object.php?id=TYC3004-1418-1
Altais,"Altais, δ-Dra, Delta Draconis, 57-Dra, 57 Draconis, HR 7310, HD 180711, HIP 94376, TYC 4444-2239-1, Gaia EDR3- 2255173119658513408",19.12.33,+67.3943,3.06,132.2,45.7,https://in-the-sky.org/data/object.php?id=TYC4444-2239-1
Albireo,"Albireo, β¹-Cyg, Beta1 Cygni, 6-Cyg, 6 Cygni, HR 7417, HD 183912, NSV 12105, HIP 95947, TYC 2133-2964-1",19.30.43,+27.5734,3.07,9.4,229.4,https://in-the-sky.org/data/object.php?id=TYC2133-2964-1
Dabih,"Dabih, β-Cap, Beta Capricorni, 9-Cap, 9 Capricorni, HR 7776, HD 193495, HIP 100345, TYC 5753-2281-1",20.21.00,-14.4653,3.07,45.5,80.7,https://in-the-sky.org/data/object.php?id=TYC5753-2281-1
Sarin,"Sarin, δ-Her, Delta Herculis, 65-Her, 65 Herculis, HR 6410, HD 156164, NSV 8419, HIP 84379, TYC 2065-1930-1, Gaia EDR3- 4573412435280434560",17.15.01,+24.5018,3.11,158.2,187.6,https://in-the-sky.org/data/object.php?id=TYC2065-1930-1
Wazn,"Wazn, β-Col, Beta Columbae, HR 2040, HD 39425, HIP 27628, TYC 7069-1482-1, Gaia EDR3- 2887731882922767744",05.50.57,-35.4559,3.11,408.2,7.7,https://in-the-sky.org/data/object.php?id=TYC7069-1482-1
Talitha,"Talitha, ι-UMa, Iota Ursae Majoris, 9-UMa, 9 Ursae Majoris, HR 3569, HD 76644, NSV 4329, HIP 44127, TYC 3420-2149-1, Gaia EDR3- 1014058103758571520",08.59.11,+48.0227,3.14,489.2,244.0,https://in-the-sky.org/data/object.php?id=TYC3420-2149-1
Haedus,"η-Aur, Eta Aurigae, 10-Aur, 10 Aurigae, HR 1641, HD 32630, NSV 1822, HIP 23767, TYC 2899-2237-1, Gaia EDR3- 201261278441958656",05.06.30,+41.1403,3.17,74.5,156.5,https://in-the-sky.org/data/object.php?id=TYC2899-2237-1
Tabit,"π³-Ori, Pi3 Orionis, 1-Ori, 1 Orionis, HR 1543, HD 30652, NSV 1731, HIP 22449, TYC 96-1462-1, Gaia EDR3- 3288921720025503360",04.49.50,+06.5740,3.18,464.1,88.5,https://in-the-sky.org/data/object.php?id=TYC96-1462-1
Aldhibah,"ζ-Dra, Zeta Draconis, 22-Dra, 22 Draconis, HR 6396, HD 155763, HIP 83895, TYC 4210-1048-1",17.08.47,+65.4252,3.18,28.3,313.8,https://in-the-sky.org/data/object.php?id=TYC4210-1048-1
Fuyue,"G-Sco, G Scorpii, HR 6630, HD 161892, HIP 87261, TYC 7389-2159-1",17.49.51,-37.0235,3.19,48.9,56.1,https://in-the-sky.org/data/object.php?id=TYC7389-2159-1
Errai,"Errai, γ-Cep, Gamma Cephei, 35-Cep, 35 Cephei, HR 8974, HD 222404, NSV 14656, HIP 116727, TYC 4606-3584-1",23.39.20,+77.3756,3.21,135.4,339.3,https://in-the-sky.org/data/object.php?id=TYC4606-3584-1
Acamar,"Acamar, θ¹-Eri, Theta1 Eridani, HR 897, HD 18622, NSV 1002, HIP 13847, TYC 7563-1016-1, Gaia EDR3- 5044368071870093312",02.58.15,-40.1816,3.22,57.1,293.8,https://in-the-sky.org/data/object.php?id=TYC7563-1016-1
Sulafat,"Sulafat, γ-Lyr, Gamma Lyrae, 14-Lyr, 14 Lyrae, HR 7178, HD 176437, NSV 11624, HIP 93194, TYC 2643-3346-1, Gaia EDR3- 2043823929421342848",18.58.56,+32.4122,3.22,3.4,299.5,https://in-the-sky.org/data/object.php?id=TYC2643-3346-1
Alfirk,"Alfirk, β-Cep, Beta Cephei, 8-Cep, 8 Cephei, HR 8238, HD 205021, HIP 106032, TYC 4465-2643-1, Gaia EDR3- 2272185759996420992",21.28.39,+70.3338,3.23,15.1,56.2,https://in-the-sky.org/data/object.php?id=TYC4465-2643-1
Yed Posterior,"Yed Posterior, ε-Oph, Epsilon Ophiuchi, 2-Oph, 2 Ophiuchi, HR 6075, HD 146791, HIP 79882, TYC 5042-999-1, Gaia EDR3- 4356298849169862784",16.18.19,-04.4132,3.24,93.3,64.1,https://in-the-sky.org/data/object.php?id=TYC5042-999-1
Skat,"Skat, δ-Aqr, Delta Aquarii, 76-Aqr, 76 Aquarii, HR 8709, HD 216627, NSV 14356, HIP 113136, TYC 6387-1382-1",22.54.39,-15.4914,3.27,50.9,236.8,https://in-the-sky.org/data/object.php?id=TYC6387-1382-1
Brachium,"σ-Lib, Sigma Librae, 20-Lib, 20 Librae, HR 5603, HD 133216, HIP 73714, TYC 6752-1455-1, Gaia EDR3- 6227443304915069056",15.04.04,-25.1655,3.28,85.0,239.9,https://in-the-sky.org/data/object.php?id=TYC6752-1455-1
Edasich,"Edasich, ι-Dra, Iota Draconis, 12-Dra, 12 Draconis, HR 5744, HD 137759, NSV 7077, HIP 75458, TYC 3875-1620-1, Gaia EDR3- 1614731957531452544",15.24.55,+58.5758,3.30,19.1,334.7,https://in-the-sky.org/data/object.php?id=TYC3875-1620-1
Propus,"Propus, η-Gem, Eta Geminorum, 7-Gem, 7 Geminorum, HR 2216, HD 42995, HIP 29655, TYC 1877-1716-1",06.14.52,+22.3024,3.30,63.6,259.0,https://in-the-sky.org/data/object.php?id=TYC1877-1716-1
Megrez,"Megrez, δ-UMa, Delta Ursae Majoris, 69-UMa, 69 Ursae Majoris, HR 4660, HD 106591, NSV 5513, HIP 59774, TYC 3837-1070-1, Gaia EDR3- 1575287046603605888",12.15.25,+57.0157,3.30,104.3,85.5,https://in-the-sky.org/data/object.php?id=TYC3837-1070-1
Chertan,"Chertan, θ-Leo, Theta Leonis, 70-Leo, 70 Leonis, HR 4359, HD 97633, NSV 5144, HIP 54879, TYC 1437-2847-1, Gaia EDR3- 3970052886914547712",11.14.14,+15.2545,3.30,99.3,217.6,https://in-the-sky.org/data/object.php?id=TYC1437-2847-1
Azmidi,"ξ-Pup, Xi Puppis, 7-Pup, 7 Puppis, HR 3045, HD 63700, HIP 38170, TYC 6557-4522-1",07.49.17,-24.5135,3.32,4.9,259.5,https://in-the-sky.org/data/object.php?id=TYC6557-4522-1
Alzirr,"ξ-Gem, Xi Geminorum, 31-Gem, 31 Geminorum, HR 2484, HD 48737, NSV 3193, HIP 32362, TYC 754-2356-1, Gaia EDR3- 3352485999058854912",06.45.17,+12.5341,3.33,223.3,210.9,https://in-the-sky.org/data/object.php?id=TYC754-2356-1
Rasalgethi,"Rasalgethi, Alp Her, α¹-Her, Alpha1 Herculis, 64-Her, 64 Herculis, HR 6406, HD 156014, HIP 84345, TYC 990-2133-1",17.14.38,+14.2325,3.34,36.8,348.5,https://in-the-sky.org/data/object.php?id=TYC990-2133-1
Muscida,"Muscida, O-UMa, Omicron Ursae Majoris, 1-UMa, 1 Ursae Majoris, HR 3323, HD 71369, NSV 4093, HIP 41704, TYC 4127-2431-1, Gaia EDR3- 1041808368494264576",08.30.15,+60.4303,3.36,171.6,231.1,https://in-the-sky.org/data/object.php?id=TYC4127-2431-1
Heze,"ζ-Vir, Zeta Virginis, 79-Vir, 79 Virginis, HR 5107, HD 118098, HIP 66249, TYC 4966-1366-1",13.34.41,-00.3545,3.38,284.7,279.9,https://in-the-sky.org/data/object.php?id=TYC4966-1366-1
Chamukuy,"θ²-Tau, Theta2 Tauri, 78-Tau, 78 Tauri, HR 1412, HD 28319, HIP 20894, TYC 1265-1172-1",04.28.39,+15.5215,3.39,111.7,103.9,https://in-the-sky.org/data/object.php?id=TYC1265-1172-1
Mothallah,"Mothallah, α-Tri, Alpha Trianguli, 2-Tri, 2 Trianguli, HR 544, HD 11443, HIP 8796, TYC 1763-3028-1",01.53.04,+29.3443,3.41,234.5,177.4,https://in-the-sky.org/data/object.php?id=TYC1763-3028-1
Minelauva,"δ-Vir, Delta Virginis, 43-Vir, 43 Virginis, HR 4910, HD 112300, NSV 6026, HIP 63090, TYC 294-1032-1, Gaia EDR3- 3704342295607157120",12.55.35,+03.2350,3.41,472.8,263.5,https://in-the-sky.org/data/object.php?id=TYC294-1032-1
Ashlesha,"ε-Hya, Epsilon Hydrae, 11-Hya, 11 Hydrae, HR 3482, HD 74874, HIP 43109, TYC 224-1333-1",08.46.46,+06.2507,3.42,232.3,259.1,https://in-the-sky.org/data/object.php?id=TYC224-1333-1
Homam,"Homam, ζ-Peg, Zeta Pegasi, 42-Peg, 42 Pegasi, HR 8634, HD 214923, HIP 112029, TYC 1155-2187-1",22.41.27,+10.4953,3.42,78.1,98.4,https://in-the-sky.org/data/object.php?id=TYC1155-2187-1
Adhafera,"Adhafera, ζ-Leo, Zeta Leonis, 36-Leo, 36 Leonis, HR 4031, HD 89025, NSV 4804, HIP 50335, TYC 1969-1261-1",10.16.41,+23.2502,3.44,19.6,110.4,https://in-the-sky.org/data/object.php?id=TYC1969-1261-1
Tania Borealis,"Tania Borealis, λ-UMa, Lambda Ursae Majoris, 33-UMa, 33 Ursae Majoris, HR 4033, HD 89021, HIP 50372, TYC 3007-1286-1",10.17.05,+42.5452,3.44,186.4,255.7,https://in-the-sky.org/data/object.php?id=TYC3007-1286-1
Achird,"η-Cas, Eta Cassiopeiae, 24-Cas, 24 Cassiopeiae, HR 219, HD 4614, HIP 3821, TYC 3663-2669-1",00.49.05,+57.4859,3.46,1220.0,117.2,https://in-the-sky.org/data/object.php?id=TYC3663-2669-1
Nganurganity,"σ-CMa, Sigma Canis Majoris, 22-CMa, 22 Canis Majoris, HR 2646, HD 52877, HIP 33856, TYC 6531-3793-1, Gaia EDR3- 5610441600394646016",07.01.43,-27.5605,3.47,7.5,310.6,https://in-the-sky.org/data/object.php?id=TYC6531-3793-1
Nekkar,"Nekkar, β-Boo, Beta Bootis, 42-Boo, 42 Bootis, HR 5602, HD 133208, NSV 6898, HIP 73555, TYC 3047-1258-1, Gaia EDR3- 1296713990316692096",15.01.56,+40.2325,3.48,50.7,233.5,https://in-the-sky.org/data/object.php?id=TYC3047-1258-1
Alula Borealis,"Alula Borealis, ν-UMa, Nu Ursae Majoris, 54-UMa, 54 Ursae Majoris, HR 4377, HD 98262, HIP 55219, TYC 2520-2631-1, Gaia EDR3- 757565233820538752",11.18.28,+33.0539,3.48,38.2,316.9,https://in-the-sky.org/data/object.php?id=TYC2520-2631-1
Sadalbari,"Sadalbari, μ-Peg, Mu Pegasi, 48-Peg, 48 Pegasi, HR 8684, HD 216131, HIP 112748, TYC 2225-1821-1, Gaia EDR3- 1876510592179455744",22.50.00,+24.3605,3.51,151.3,106.3,https://in-the-sky.org/data/object.php?id=TYC2225-1821-1
Subra,"Subra, O-Leo, Omicron Leonis, 14-Leo, 14 Leonis, HR 3852, HD 83808, HIP 47508, TYC 821-2130-1, Gaia EDR3- 588551501854159744",09.41.08,+09.5331,3.51,147.4,255.3,https://in-the-sky.org/data/object.php?id=TYC821-2130-1
Tarf,"β-Cnc, Beta Cancri, 17-Cnc, 17 Cancri, HR 3249, HD 69267, NSV 3973, HIP 40526, TYC 794-1622-1, Gaia EDR3- 3098404220680931968",08.16.30,+09.1107,3.52,67.4,222.7,https://in-the-sky.org/data/object.php?id=TYC794-1622-1
Rana,"δ-Eri, Delta Eridani, 23-Eri, 23 Eridani, HR 1136, HD 23249, HIP 17378, TYC 5303-1320-1, Gaia EDR3- 5164120762333028736",03.43.14,-09.4536,3.53,750.2,352.8,https://in-the-sky.org/data/object.php?id=TYC5303-1320-1
Meissa,"Meissa, λ-Ori, Lambda Orionis, 39-Ori, 39 Orionis, HR 1879, HD 36861, NSV 2240, HIP 26207, TYC 705-2400-1",05.35.08,+09.5602,3.53,3.0,186.6,https://in-the-sky.org/data/object.php?id=TYC705-2400-1
Pipirima,"μ²-Sco, Mu2 Scorpii, HR 6252, HD 151985, HIP 82545, TYC 7868-1820-1, Gaia EDR3- 5971244451311982336",16.52.20,-38.0103,3.53,25.6,208.2,https://in-the-sky.org/data/object.php?id=TYC7868-1820-1
Ain,"Ain, ε-Tau, Epsilon Tauri, 74-Tau, 74 Tauri, HR 1409, HD 28305, HIP 20889, TYC 1273-1104-1, Gaia EDR3- 48026706558487040",04.28.37,+19.1048,3.53,113.5,108.6,https://in-the-sky.org/data/object.php?id=TYC1273-1104-1
Biham,"Biham, θ-Peg, Theta Pegasi, 26-Peg, 26 Pegasi, HR 8450, HD 210418, NSV 14057, HIP 109427, TYC 565-1999-1",22.10.11,+06.1152,3.53,283.8,83.8,https://in-the-sky.org/data/object.php?id=TYC565-1999-1
Wasat,"Wasat, δ-Gem, Delta Geminorum, 55-Gem, 55 Geminorum, HR 2777, HD 56986, HIP 35550, TYC 1359-2672-1",07.20.07,+21.5856,3.54,18.0,237.1,https://in-the-sky.org/data/object.php?id=TYC1359-2672-1
Kaffaljidhma,"γ-Cet, Gamma Ceti, 86-Cet, 86 Ceti, HR 804, HD 16970, HIP 12706, TYC 50-1721-1",02.43.18,+03.1410,3.57,206.6,225.0,https://in-the-sky.org/data/object.php?id=TYC50-1721-1
Alkaphrah,"κ-UMa, Kappa Ursae Majoris, 12-UMa, 12 Ursae Majoris, HR 3594, HD 77327, NSV 4357, HIP 44471, TYC 3424-1626-1",09.03.37,+47.0923,3.58,66.2,213.2,https://in-the-sky.org/data/object.php?id=TYC3424-1626-1
Algedi,"Algedi, α²-Cap, Alpha2 Capricorni, 6-Cap, 6 Capricorni, HR 7754, HD 192947, HIP 100064, TYC 5749-2530-1, Gaia EDR3- 6880093650314169984",20.18.03,-12.3241,3.58,61.3,87.7,https://in-the-sky.org/data/object.php?id=TYC5749-2530-1
Nembus,"51-And, 51 Andromedae, HR 464, HD 9927, HIP 7607, TYC 3282-2271-1, Gaia EDR3- 399402894487590144",01.37.59,+48.3739,3.58,128.5,150.7,https://in-the-sky.org/data/object.php?id=TYC3282-2271-1
Ginan,"ε-Cru, Epsilon Crucis, HR 4700, HD 107446, NSV 5568, HIP 60260, TYC 8975-4125-1, Gaia EDR3- 6058271964884299520",12.21.21,-60.2402,3.58,194.3,298.2,https://in-the-sky.org/data/object.php?id=TYC8975-4125-1
Bharani,"c-Ari, c Arietis, 41-Ari, 41 Arietis, HR 838, HD 17573, NSV 951, HIP 13209, TYC 1789-1490-1",02.49.59,+27.1537,3.59,134.3,150.2,https://in-the-sky.org/data/object.php?id=TYC1789-1490-1
Zavijava,"Zavijava, β-Vir, Beta Virginis, 5-Vir, 5 Virginis, HR 4540, HD 102870, HIP 57757, TYC 273-924-1, Gaia EDR3- 3796442680948579328",11.50.42,+01.4548,3.59,788.7,110.1,https://in-the-sky.org/data/object.php?id=TYC273-924-1
Atlas,"Atlas, 27-Tau, 27 Tauri, HR 1178, HD 23850, NSV 1345, HIP 17847, TYC 1800-2203-1, Gaia EDR3- 66526127137440128",03.49.09,+24.0311,3.61,50.0,157.6,https://in-the-sky.org/data/object.php?id=TYC1800-2203-1
Alpherg,"η-Psc, Eta Piscium, 99-Psc, 99 Piscium, HR 437, HD 9270, NSV 532, HIP 7097, TYC 1198-1597-1, Gaia EDR3- 2591891443195067264",01.31.29,+15.2044,3.61,28.8,96.4,https://in-the-sky.org/data/object.php?id=TYC1198-1597-1
Sheliak,"Sheliak, β-Lyr, Beta Lyrae, 10-Lyr, 10 Lyrae, HR 7106, HD 174638, HIP 92420, TYC 2642-2929-1, Gaia EDR3- 2090687795056051328",18.50.04,+33.2145,3.63,4.2,151.0,https://in-the-sky.org/data/object.php?id=TYC2642-2929-1
Rotanev,"Rotanev, β-Del, Beta Delphini, 6-Del, 6 Delphini, HR 7882, HD 196524, HIP 101769, TYC 1100-1720-1",20.37.32,+14.3542,3.63,127.5,112.1,https://in-the-sky.org/data/object.php?id=TYC1100-1720-1
Nusakan,"Nusakan, β-CrB, Beta Coronae Borealis, 3-CrB, 3 Coronae Borealis, HR 5747, HD 137909, HIP 75695, TYC 2032-1605-1",15.27.49,+29.0620,3.64,199.6,295.5,https://in-the-sky.org/data/object.php?id=TYC2032-1605-1
Prima Hyadum,"γ-Tau, Gamma Tauri, 54-Tau, 54 Tauri, HR 1346, HD 27371, NSV 1553, HIP 20205, TYC 1264-1009-1, Gaia EDR3- 3312052249215275904",04.19.47,+15.3739,3.65,118.6,101.4,https://in-the-sky.org/data/object.php?id=TYC1264-1009-1
Thuban,"Thuban, α-Dra, Alpha Draconis, 11-Dra, 11 Draconis, HR 5291, HD 123299, NSV 6546, HIP 68756, TYC 4174-1262-1",14.04.23,+64.2232,3.65,58.9,287.0,https://in-the-sky.org/data/object.php?id=TYC4174-1262-1
