Common Name,Alternative Names,Right Ascension,Declination,Magnitude (Visual),"Proper Motion (Speed, mas/yr)","Proper Motion (Angle, Degrees)",URL
Acrux,"Acrux, α¹-Cru, Alpha1 Crucis, HR 4730, HD 108248, HIP 60718, TYC 8979-3464-1",12.26.35,-63.0556,1.28,38.8,247.5,https://in-the-sky.org/data/object.php?id=TYC8979-3464-1
Mimosa,"Mimosa, β-Cru, Beta Crucis, HR 4853, HD 111123, HIP 62434, TYC 8659-3107-1",12.47.43,-59.4119,1.31,45.9,249.4,https://in-the-sky.org/data/object.php?id=TYC8659-3107-1
Deneb,"Deneb, α-Cyg, Alpha Cygni, 50-Cyg, 50 Cygni, HR 7924, HD 197345, HIP 102098, TYC 3574-3347-1",20.41.25,+45.1649,1.33,2.7,47.4,https://in-the-sky.org/data/object.php?id=TYC3574-3347-1
Toliman,"α-Cen, Alpha Centauri, HR 5460, HD 128621, HIP 71681",14.39.39,-60.5022,1.35,3700.0,282.5,https://in-the-sky.org/data/object.php?id=HIP71681
Regulus,"Regulus, α-Leo, Alpha Leonis, 32-Leo, 32 Leonis, HR 3982, HD 87901, NSV 4750, HIP 49669, TYC 833-1381-1",10.08.22,+11.5801,1.41,248.8,271.3,https://in-the-sky.org/data/object.php?id=TYC833-1381-1
Adhara,"Adhara, ε-CMa, Epsilon Canis Majoris, 21-CMa, 21 Canis Majoris, HR 2618, HD 52089, HIP 33579, TYC 6535-3619-1",06.58.37,-28.5819,1.53,3.5,67.7,https://in-the-sky.org/data/object.php?id=TYC6535-3619-1
Castor,"Castor, YY Gem, α-Gem, Alpha Geminorum, 66-Gem, 66 Geminorum, HR 2891, HD 60179, HIP 36850, TYC 2457-2407-1, Gaia EDR3- 892348694913501952",07.34.35,+31.5318,1.58,240.3,232.8,https://in-the-sky.org/data/object.php?id=TYC2457-2407-1
Shaula,"Shaula, λ-Sco, Lambda Scorpii, 35-Sco, 35 Scorpii, HR 6527, HD 158926, HIP 85927, TYC 7388-1093-1",17.33.36,-37.0613,1.63,32.0,195.5,https://in-the-sky.org/data/object.php?id=TYC7388-1093-1
Gacrux,"Gacrux, γ-Cru, Gamma Crucis, HR 4763, HD 108903, NSV 5672, HIP 61084, TYC 8654-3422-1",12.31.09,-57.0645,1.65,266.6,173.9,https://in-the-sky.org/data/object.php?id=TYC8654-3422-1
Bellatrix,"Bellatrix, γ-Ori, Gamma Orionis, 24-Ori, 24 Orionis, HR 1790, HD 35468, NSV 1972, HIP 25336, TYC 113-1856-1",05.25.07,+06.2059,1.66,15.2,212.2,https://in-the-sky.org/data/object.php?id=TYC113-1856-1
Miaplacidus,"Miaplacidus, β-Car, Beta Carinae, HR 3685, HD 80007, HIP 45238, TYC 9200-2603-1",09.13.12,-69.4302,1.67,190.7,304.8,https://in-the-sky.org/data/object.php?id=TYC9200-2603-1
Elnath,"Elnath, β-Tau, Beta Tauri, 112-Tau, 112 Tauri, HR 1791, HD 35497, HIP 25428, TYC 1859-1470-1",05.26.17,+28.3628,1.68,175.1,172.5,https://in-the-sky.org/data/object.php?id=TYC1859-1470-1
Alnilam,"Alnilam, ε-Ori, Epsilon Orionis, 46-Ori, 46 Orionis, HR 1903, HD 37128, HIP 26311, TYC 4766-2450-1",05.36.12,-01.1206,1.72,1.6,118.4,https://in-the-sky.org/data/object.php?id=TYC4766-2450-1
Alioth,"Alioth, ε-UMa, Epsilon Ursae Majoris, 77-UMa, 77 Ursae Majoris, HR 4905, HD 112185, HIP 62956, TYC 3845-1190-1",12.54.01,+55.5735,1.76,112.2,94.2,https://in-the-sky.org/data/object.php?id=TYC3845-1190-1
Alnair,"Alnair, α-Gru, Alpha Gruis, HR 8425, HD 209952, NSV 14040, HIP 109268, TYC 8438-1959-1",22.08.13,-46.5738,1.77,194.4,139.3,https://in-the-sky.org/data/object.php?id=TYC8438-1959-1
Mirfak,"Mirfak, α-Per, Alpha Persei, 33-Per, 33 Persei, HR 1017, HD 20902, NSV 1125, HIP 15863, TYC 3320-2808-1",03.24.19,+49.5140,1.81,35.4,137.8,https://in-the-sky.org/data/object.php?id=TYC3320-2808-1
Kaus Australis,"Kaus Australis, ε-Sgr, Epsilon Sagittarii, 20-Sgr, 20 Sagittarii, HR 6879, HD 169022, HIP 90185, TYC 7401-3471-1",18.24.10,-34.2303,1.81,130.3,197.6,https://in-the-sky.org/data/object.php?id=TYC7401-3471-1
Dubhe,"Dubhe, α-UMa, Alpha Ursae Majoris, 50-UMa, 50 Ursae Majoris, HR 4301, HD 95689, NSV 5070, HIP 54061, TYC 4146-1274-1",11.03.43,+61.4504,1.82,138.5,255.5,https://in-the-sky.org/data/object.php?id=TYC4146-1274-1
Wezen,"Wezen, δ-CMa, Delta Canis Majoris, 25-CMa, 25 Canis Majoris, HR 2693, HD 54605, NSV 3424, HIP 34444, TYC 6532-5001-1",07.08.23,-26.2335,1.84,4.5,316.7,https://in-the-sky.org/data/object.php?id=TYC6532-5001-1
Sargas,"Sargas, θ-Sco, Theta Scorpii, HR 6553, HD 159532, NSV 9233, HIP 86228, TYC 7892-7679-1",17.37.19,-42.5952,1.86,6.4,119.4,https://in-the-sky.org/data/object.php?id=TYC7892-7679-1
