Common Name,Alternative Names,Right Ascension,Declination,Magnitude
,"['χ-UMa', 'Chi Ursae Majoris', '63-UMa', '63 Ursae Majoris', 'HR 4518', 'HD 102224', 'NSV 5319', 'HIP 57399', 'TYC 3452-2140-1', 'Gaia EDR3- 786420645182229504']",11h46m02s,"+47°46'46""",3.69
Electra,"['Electra', '17-Tau', '17 Tauri', 'HR 1142', 'HD 23302', 'HIP 17499', 'TYC 1799-1441-1', 'Gaia EDR3- 65271996684817280']",03h44m52s,"+24°06'47""",3.71
Alshain,"['Alshain', 'β-Aql', 'Beta Aquilae', '60-Aql', '60 Aquilae', 'HR 7602', 'HD 188512', 'NSV 12557', 'HIP 98036', 'TYC 493-3355-1', 'Gaia EDR3- 4296708789290712064']",19h55m18s,"+06°24'16""",3.72
Ran,"['Ran', 'ε-Eri', 'Epsilon Eridani', '18-Eri', '18 Eridani', 'HR 1084', 'HD 22049', 'HIP 16537', 'TYC 5296-1533-1']",03h32m55s,"-09°27'29""",3.72
Grumium,"['Grumium', 'ξ-Dra', 'Xi Draconis', '32-Dra', '32 Draconis', 'HR 6688', 'HD 163588', 'HIP 87585', 'TYC 3910-1710-1', 'Gaia EDR3- 1421593566062037120']",17h53m31s,"+56°52'22""",3.73
Albali,"['Albali', 'ε-Aqr', 'Epsilon Aquarii', '2-Aqr', '2 Aquarii', 'HR 7950', 'HD 198001', 'HIP 102618', 'TYC 5760-1997-1', 'Gaia EDR3- 6903096911032851584']",20h47m40s,"-09°29'45""",3.76
,"['η-Per', 'Eta Persei', '15-Per', '15 Persei', 'HR 834', 'HD 17506', 'HIP 13268', 'TYC 3704-1332-1', 'Gaia EDR3- 454491381981202944']",02h50m41s,"+55°53'43""",3.76
,"['ζ-Aur', 'Zeta Aurigae', '8-Aur', '8 Aurigae', 'HR 1612', 'HD 32068', 'HIP 23453', 'TYC 2899-2236-1']",05h02m28s,"+41°04'33""",3.77
Sualocin,"['Sualocin', 'α-Del', 'Alpha Delphini', '9-Del', '9 Delphini', 'HR 7906', 'HD 196867', 'NSV 13207', 'HIP 101958', 'TYC 1633-2442-1']",20h39m38s,"+15°54'43""",3.78
,"['κ-Per', 'Kappa Persei', '27-Per', '27 Persei', 'HR 941', 'HD 19476', 'NSV 1055', 'HIP 14668', 'TYC 2859-2274-1']",03h09m29s,"+44°51'27""",3.79
,"['46-LMi', '46 Leonis Minoris', 'HR 4247', 'HD 94264', 'NSV 4999', 'HIP 53229', 'TYC 2521-2271-1']",10h53m18s,"+34°12'53""",3.79
,"['υ²-Eri', 'Upsilon2 Eridani', '52-Eri', '52 Eridani', 'HR 1464', 'HD 29291', 'HIP 21393', 'TYC 7038-1509-1', 'Gaia EDR3- 4878631812268014464']",04h35m32s,"-30°33'44""",3.81
,"['λ-Dra', 'Lambda Draconis', '1-Dra', '1 Draconis', 'HR 4434', 'HD 100029', 'NSV 5231', 'HIP 56211', 'TYC 4392-1805-1', 'Gaia EDR3- 1061909811871141504']",11h31m24s,"+69°19'51""",3.81
,"['μ-Sgr', 'Mu Sagittarii', '13-Sgr', '13 Sagittarii', 'HR 6812', 'HD 166937', 'HIP 89341', 'TYC 6276-3093-1', 'Gaia EDR3- 4093933487636355968']",18h13m45s,"-21°03'31""",3.84
Sadachbia,"['Sadachbia', 'γ-Aqr', 'Gamma Aquarii', '48-Aqr', '48 Aquarii', 'HR 8518', 'HD 212061', 'NSV 14132', 'HIP 110395', 'TYC 5226-1606-1']",22h21m39s,"-01°23'14""",3.85
,"['ρ-Sco', 'Rho Scorpii', '5-Sco', '5 Scorpii', 'HR 5928', 'HD 142669', 'HIP 78104', 'TYC 6791-2509-1', 'Gaia EDR3- 6041076668127513984']",15h56m53s,"-29°12'51""",3.85
Maia,"['Maia', '20-Tau', '20 Tauri', 'HR 1149', 'HD 23408', 'NSV 1279', 'HIP 17573', 'TYC 1799-1439-1', 'Gaia EDR3- 65283232316451328']",03h45m49s,"+24°22'03""",3.86
Zaniah,"['Zaniah', 'η-Vir', 'Eta Virginis', '15-Vir', '15 Virginis', 'HR 4689', 'HD 107259', 'NSV 5555', 'HIP 60129', 'TYC 4940-1158-1']",12h19m54s,"-00°40'00""",3.87
Rasalas,"['Rasalas', 'μ-Leo', 'Mu Leonis', '24-Leo', '24 Leonis', 'HR 3905', 'HD 85503', 'HIP 48455', 'TYC 1964-1473-1', 'Gaia EDR3- 643819484617141504']",09h52m45s,"+26°00'24""",3.88
,"['ι-Hya', 'Iota Hydrae', '35-Hya', '35 Hydrae', 'HR 3845', 'HD 83618', 'NSV 4568', 'HIP 47431', 'TYC 4894-2529-1', 'Gaia EDR3- 3827873938815011200']",09h39m51s,"-01°08'35""",3.89
Azha,"['Azha', 'η-Eri', 'Eta Eridani', '3-Eri', '3 Eridani', 'HR 874', 'HD 18322', 'NSV 988', 'HIP 13701', 'TYC 5287-1076-1', 'Gaia EDR3- 5173421634271199104']",02h56m25s,"-08°53'56""",3.90
,"['l-Eri', 'l Eridani', '53-Eri', '53 Eridani', 'HR 1481', 'HD 29503', 'HIP 21594', 'TYC 5327-1434-1']",04h38m10s,"-14°18'14""",3.90
Atik,"['Atik', 'O-Per', 'Omicron Persei', '38-Per', '38 Persei', 'HR 1131', 'HD 23180', 'HIP 17448', 'TYC 2359-1258-1', 'Gaia EDR3- 216718178536050176']",03h44m19s,"+32°17'17""",3.91
,"['α-For', 'Alpha Fornacis', 'HR 963', 'HD 20010', 'NSV 1074', 'HIP 14879', 'TYC 6445-990-1']",03h12m04s,"-28°59'20""",3.92
,"['γ-Lib', 'Gamma Librae', '38-Lib', '38 Librae', 'HR 5787', 'HD 138905', 'HIP 76333', 'TYC 5608-1381-1', 'Gaia EDR3- 6265374394490973184']",15h35m31s,"-14°47'22""",3.92
Rukbat,"['Rukbat', 'α-Sgr', 'Alpha Sagittarii', 'HR 7348', 'HD 181869', 'HIP 95347', 'TYC 7935-2139-1', 'Gaia EDR3- 6713727061309245952']",19h23m53s,"-40°36'59""",3.94
Kitalpha,"['Kitalpha', 'α-Equ', 'Alpha Equulei', '8-Equ', '8 Equulei', 'HR 8131', 'HD 202447', 'HIP 104987', 'TYC 536-2354-1']",21h15m49s,"+05°14'52""",3.94
