Common Name,Alternative Names,Right Ascension,Declination,Magnitude
Rasalhague,"['Rasalhague', 'α-Oph', 'Alpha Ophiuchi', '55-Oph', '55 Ophiuchi', 'HR 6556', 'HD 159561', 'NSV 9189', 'HIP 86032', 'TYC 1000-2508-1']",17h34m56s,"+12°33'38""",2.09
Algol,"['Algol', 'β-Per', 'Beta Persei', '26-Per', '26 Persei', 'HR 936', 'HD 19356', 'HIP 14576', 'TYC 2851-2168-1']",03h08m10s,"+40°57'20""",2.11
,"['β-Gru', 'Beta Gruis', 'HR 8636', 'HD 214952', 'HIP 112122', 'TYC 8446-1644-1']",22h42m40s,"-46°53'04""",2.12
Denebola,"['Denebola', 'β-Leo', 'Beta Leonis', '94-Leo', '94 Leonis', 'HR 4534', 'HD 102647', 'HIP 57632', 'TYC 870-988-1']",11h49m03s,"+14°34'20""",2.13
Almach,"['Almach', 'γ¹-And', 'Gamma1 Andromedae', '57-And', '57 Andromedae', 'HR 603', 'HD 12533', 'HIP 9640', 'TYC 2837-2311-1']",02h03m53s,"+42°19'47""",2.17
Suhail,"['Suhail', 'λ-Vel', 'Lambda Velorum', 'HR 3634', 'HD 78647', 'HIP 44816', 'TYC 7689-2617-1']",09h07m59s,"-43°25'57""",2.20
Sadr,"['Sadr', 'γ-Cyg', 'Gamma Cygni', '37-Cyg', '37 Cygni', 'HR 7796', 'HD 194093', 'NSV 13048', 'HIP 100453', 'TYC 3156-2223-1', 'Gaia EDR3- 2067518817314952576']",20h22m13s,"+40°15'24""",2.20
Mizar,"['Mizar', 'ζ-UMa', 'Zeta Ursae Majoris', '79-UMa', '79 Ursae Majoris', 'HR 5054', 'HD 116656', 'NSV 6224', 'HIP 65378', 'TYC 3850-1385-1', 'Gaia EDR3- 1563590579347125632']",13h23m55s,"+54°55'30""",2.22
Alphecca,"['Alphecca', 'α-CrB', 'Alpha Coronae Borealis', '5-CrB', '5 Coronae Borealis', 'HR 5793', 'HD 139006', 'HIP 76267', 'TYC 2029-1690-1', 'Gaia EDR3- 1222646935698492160']",15h34m41s,"+26°42'51""",2.22
Naos,"['Naos', 'ζ-Pup', 'Zeta Puppis', 'HR 3165', 'HD 66811', 'HIP 39429', 'TYC 7663-4093-1', 'Gaia EDR3- 5534788672055388032']",08h03m35s,"-40°00'11""",2.22
Eltanin,"['Eltanin', 'γ-Dra', 'Gamma Draconis', '33-Dra', '33 Draconis', 'HR 6705', 'HD 164058', 'HIP 87833', 'TYC 3523-1684-1']",17h56m36s,"+51°29'20""",2.23
Mintaka,"['Mintaka', 'δ-Ori', 'Delta Orionis', '34-Ori', '34 Orionis', 'HR 1852', 'HD 36486', 'HIP 25930', 'TYC 4766-2445-1', 'Gaia EDR3- 3220756843825383936']",05h32m00s,"-00°17'56""",2.23
Algieba,"['Algieba', 'γ¹-Leo', 'Gamma1 Leonis', '41-Leo', '41 Leonis', 'HR 4057', 'HD 89484', 'NSV 4823', 'HIP 50583', 'TYC 1423-1349-1']",10h19m58s,"+19°50'30""",2.23
Schedar,"['Schedar', 'α-Cas', 'Alpha Cassiopeiae', '18-Cas', '18 Cassiopeiae', 'HR 168', 'HD 3712', 'HIP 3179', 'TYC 3663-2668-1', 'Gaia EDR3- 418551920284673408']",00h40m30s,"+56°32'13""",2.25
Aspidiske,"['Aspidiske', 'ι-Car', 'Iota Carinae', 'HR 3699', 'HD 80404', 'NSV 4444', 'HIP 45556', 'TYC 8595-3312-1', 'Gaia EDR3- 5300300156538723328']",09h17m05s,"-59°16'30""",2.25
,"['ε-Sco', 'Epsilon Scorpii', '26-Sco', '26 Scorpii', 'HR 6241', 'HD 151680', 'NSV 7983', 'HIP 82396', 'TYC 7367-804-1']",16h50m09s,"-34°17'35""",2.27
Caph,"['Caph', 'β-Cas', 'Beta Cassiopeiae', '11-Cas', '11 Cassiopeiae', 'HR 21', 'HD 432', 'HIP 746', 'TYC 3664-1985-1']",00h09m10s,"+59°09'00""",2.28
Dschubba,"['Dschubba', 'δ-Sco', 'Delta Scorpii', '7-Sco', '7 Scorpii', 'HR 5953', 'HD 143275', 'HIP 78401', 'TYC 6779-2194-1']",16h00m20s,"-22°37'17""",2.30
Merak,"['Merak', 'β-UMa', 'Beta Ursae Majoris', '48-UMa', '48 Ursae Majoris', 'HR 4295', 'HD 95418', 'NSV 5053', 'HIP 53910', 'TYC 3827-1079-1']",11h01m50s,"+56°22'56""",2.35
Ankaa,"['Ankaa', 'α-Phe', 'Alpha Phoenicis', 'HR 99', 'HD 2261', 'HIP 2081', 'TYC 7527-1031-1']",00h26m17s,"-42°18'21""",2.38
Enif,"['Enif', 'ε-Peg', 'Epsilon Pegasi', '8-Peg', '8 Pegasi', 'HR 8308', 'HD 206778', 'HIP 107315', 'TYC 1125-2186-1']",21h44m11s,"+09°52'30""",2.39
Phecda,"['Phecda', 'γ-UMa', 'Gamma Ursae Majoris', '64-UMa', '64 Ursae Majoris', 'HR 4554', 'HD 103287', 'NSV 5379', 'HIP 58001', 'TYC 3833-1034-1']",11h53m49s,"+53°41'41""",2.39
Sabik,"['Sabik', 'η-Oph', 'Eta Ophiuchi', '35-Oph', '35 Ophiuchi', 'HR 6378', 'HD 155125', 'HIP 84012', 'TYC 6232-1333-1']",17h10m22s,"-15°43'30""",2.43
